STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
CA,Siskiyou,0.387,0.58,8329,12461
CA,Solano,0.6,0.37,113997,70345
CA,Sonoma,0.714,0.252,179600,63426
CA,Stanislaus,0.432,0.542,85347,106986
CA,Sutter,0.331,0.645,13016,25372
CA,Tehama,0.279,0.697,7415,18503
CA,Trinity,0.434,0.528,2449,2979
CA,Tulare,0.385,0.592,53221,81854
CA,Tuolumne,0.379,0.597,10909,17210
CA,Ventura,0.561,0.41,217424,158901
CA,Yolo,0.663,0.301,61405,27844
CA,Yuba,0.357,0.615,10725,18491
CO,Adams,0.531,0.441,124056,103024
CO,Alamosa,0.431,0.539,3244,4057
CO,Arapahoe,0.586,0.385,190725,125311
CO,Archuleta,0.417,0.558,3904,5218
CO,Baca,0.137,0.841,275,1686
CO,Bent,0.295,0.683,645,1496
CO,Boulder,0.765,0.208,150149,40758
CO,Broomfield,0.628,0.343,29426,16071
CO,Chaffee,0.554,0.418,7992,6034
CO,Cheyenne,0.102,0.882,108,930
CO,Clear Creek,0.568,0.402,3464,2452
CO,Conejos,0.396,0.574,1627,2358
CO,Costilla,0.555,0.409,1155,850
CO,Crowley,0.247,0.721,422,1231
CO,Custer,0.307,0.668,1188,2583
CO,Delta,0.31,0.665,6030,12948
CO,Denver,0.766,0.206,278634,74765
CO,Dolores,0.229,0.758,325,1076
CO,Douglas,0.453,0.523,110408,127451
CO,Eagle,0.609,0.365,16943,10148
CO,El Paso,0.437,0.535,166597,203933
CO,Elbert,0.233,0.745,4768,15209
CO,Fremont,0.295,0.68,7526,17313
CO,Garfield,0.498,0.477,15128,14493
CO,Gilpin,0.546,0.419,2254,1729
CO,Grand,0.48,0.488,4743,4822
CO,Gunnison,0.629,0.337,6887,3689
CO,Hinsdale,0.423,0.547,257,332
CO,Huerfano,0.442,0.528,1965,2346
CO,Jackson,0.207,0.76,173,634
CO,Jefferson,0.583,0.388,210875,140505
CO,Kiowa,0.118,0.862,102,744
CO,Kit Carson,0.15,0.834,556,3083
CO,La Plata,0.579,0.393,20677,14024
CO,Lake,0.562,0.398,2199,1557
CO,Larimer,0.573,0.397,129376,89680
CO,Las Animas,0.42,0.555,3276,4328
CO,Lincoln,0.168,0.813,432,2090
CO,Logan,0.206,0.773,2098,7855
CO,Mesa,0.366,0.609,33573,55839
CO,Mineral,0.421,0.554,317,417
CO,Moffat,0.175,0.803,1167,5358
CO,Montezuma,0.383,0.593,5793,8972
CO,Montrose,0.326,0.652,8354,16704
CO,Morgan,0.244,0.73,3291,9830
CO,Otero,0.354,0.618,3164,5520
CO,Ouray,0.596,0.384,2442,1573
CO,Park,0.402,0.567,4841,6828
CO,Phillips,0.175,0.802,412,1888
CO,Pitkin,0.71,0.268,7932,2992
CO,Prowers,0.238,0.745,1227,3833
CO,Pueblo,0.462,0.513,39328,43688
CO,Rio Blanco,0.173,0.809,637,2988
CO,Rio Grande,0.372,0.604,2306,3743
CO,Routt,0.625,0.347,10208,5676
CO,Saguache,0.501,0.464,1704,1577
CO,San Juan,0.638,0.319,376,188
CO,San Miguel,0.735,0.24,3529,1154
CO,Sedgwick,0.208,0.772,283,1048
CO,Summit,0.67,0.299,11762,5244
CO,Teller,0.31,0.664,5065,10856
CO,Washington,0.117,0.868,329,2436
CO,Weld,0.382,0.592,68752,106469
CO,Yuma,0.163,0.816,758,3807
CT,Andover,0.493,0.494,1032,1035
CT,Ansonia,0.494,0.491,3860,3838
CT,Ashford,0.515,0.467,1304,1182
CT,Avon,0.604,0.377,7012,4382
CT,Barkhamsted,0.468,0.514,1127,1239
CT,Beacon Falls,0.408,0.577,1533,2169
CT,Berlin,0.446,0.537,5559,6701
CT,Bethany,0.503,0.475,1788,1688
CT,Bethel,0.538,0.445,5977,4950
CT,Bethlehem,0.383,0.605,909,1436
